"Bijan Robinson
RB - ATL (5)","Saquon Barkley
RB - PHI (9)","Ja'Marr Chase
WR - CIN (10)","CeeDee Lamb
WR - DAL (10)","Jahmyr Gibbs
RB - DET (8)","Justin Jefferson
WR - MIN (6)","Derrick Henry
RB - BAL (7)","Ashton Jeanty
RB - LV (8)","Christian McCaffrey
RB - SF (14)","Malik Nabers
WR - NYG (14)","A.J. Brown
WR - PHI (9)","Drake London
WR - ATL (5)"
"Brock Bowers
TE - LV (8)","Josh Jacobs
RB - GB (5)","Jonathan Taylor
RB - IND (11)","James Cook
RB - BUF (7)","Terry McLaurin
WR - WAS (12)","Mike Evans
WR - TB (9)","Omarion Hampton
RB - LAC (12)","TreVeyon Henderson
RB - NE (14)","Davante Adams
WR - LAR (8)","Alvin Kamara
RB - NO (11)","George Kittle
TE - SF (14)","DK Metcalf
WR - PIT (5)"
"Kenneth Walker III
RB - SEA (8)","DeVonta Smith
WR - PHI (9)","Isiah Pacheco
RB - KC (10)","Josh Allen
QB - BUF (7)","Marvin Harrison Jr.
WR - ARI (8)","DJ Moore
WR - CHI (5)","RJ Harvey
RB - DEN (12)","Lamar Jackson
QB - BAL (7)","Tetairoa McMillan
WR - CAR (14)","James Conner
RB - ARI (8)","Breece Hall
RB - NYJ (9)","De'Von Achane
RB - MIA (12)"
"D'Andre Swift
RB - CHI (5)","Jaxon Smith-Njigba
WR - SEA (8)","Aaron Jones Sr.
RB - MIN (6)","Xavier Worthy
WR - KC (10)","Tyreek Hill
WR - MIA (12)","Travis Etienne Jr.
RB - JAC (8)","Brian Thomas Jr.
WR - JAC (8)","Joe Burrow
QB - CIN (10)","Jaylen Warren
RB - PIT (5)","Tony Pollard
RB - TEN (10)","Tee Higgins
WR - CIN (10)","Ladd McConkey
WR - LAC (12)"
"Courtland Sutton
WR - DEN (12)","George Pickens
WR - DAL (10)","Travis Hunter
WR - JAC (8)","Zay Flowers
WR - BAL (7)","Rome Odunze
WR - CHI (5)","Matthew Golden
WR - GB (5)","Jordan Addison
WR - MIN (6)","Emeka Egbuka
WR - TB (9)","Jalen Hurts
QB - PHI (9)","Sam LaPorta
TE - DET (8)","Kaleb Johnson
RB - PIT (5)","Austin Ekeler
RB - WAS (12)"
"Jared Goff
QB - DET (8)","Deebo Samuel Sr.
WR - WAS (12)","David Montgomery
RB - DET (8)","J.K. Dobbins
RB - DEN (12)","Javonte Williams
RB - DAL (10)","Calvin Ridley
WR - TEN (10)","Stefon Diggs
WR - NE (14)","Jameson Williams
WR - DET (8)","Jaylen Waddle
WR - MIA (12)","Nico Collins
WR - HOU (6)","Kyler Murray
QB - ARI (8)","Chris Olave
WR - NO (11)"
"Jakobi Meyers
WR - LV (8)","Chuba Hubbard
RB - CAR (14)","Bucky Irving
RB - TB (9)","Rhamondre Stevenson
RB - NE (14)","Patrick Mahomes II
QB - KC (10)","Jayden Daniels
QB - WAS (12)","Travis Kelce
TE - KC (10)","Evan Engram
TE - DEN (12)","Tyler Warren
TE - IND (11)","Puka Nacua
WR - LAR (8)","Chris Godwin Jr.
WR - TB (9)","Trey McBride
TE - ARI (8)"
"David Njoku
TE - CLE (9)","Khalil Shakir
WR - BUF (7)","Cooper Kupp
WR - SEA (8)","Keon Coleman
WR - BUF (7)","Mark Andrews
TE - BAL (7)","Colston Loveland
TE - CHI (5)","Dak Prescott
QB - DAL (10)","Josh Downs
WR - IND (11)","Christian Kirk
WR - HOU (6)","Garrett Wilson
WR - NYJ (9)","Tank Bigsby
RB - JAC (8)","Trevor Lawrence
QB - JAC (8)"
"Jerry Jeudy
WR - CLE (9)","Cam Skattebo
RB - NYG (14)","Amon-Ra St. Brown
WR - DET (8)","Jacory Croskey-Merritt
RB - WAS (12)","Jauan Jennings
WR - SF (14)","T.J. Hockenson
TE - MIN (6)","Darnell Mooney
WR - ATL (5)","Jayden Higgins
WR - HOU (6)","Tucker Kraft
TE - GB (5)","Drake Maye
QB - NE (14)","Michael Pittman Jr.
WR - IND (11)","Nick Chubb
RB - HOU (6)"
"Juwan Johnson
TE - NO (11)","Rachaad White
RB - TB (9)","Quinshon Judkins
RB - CLE (9)","Luther Burden III
WR - CHI (5)","Michael Penix Jr.
QB - ATL (5)","Zach Charbonnet
RB - SEA (8)","Ray Davis
RB - BUF (7)","Rashid Shaheed
WR - NO (11)","Rashee Rice
WR - KC (10)","Caleb Williams
QB - CHI (5)","Bo Nix
QB - DEN (12)","Brian Robinson Jr.
RB - SF (14)"
"Wan'Dale Robinson
WR - NYG (14)","Jake Ferguson
TE - DAL (10)","Jayden Reed
WR - GB (5)","Justin Herbert
QB - LAC (12)","Kyle Pitts Sr.
TE - ATL (5)","Najee Harris
RB - LAC (12)","Brandon Aiyuk
WR - SF (14)","Bhayshul Tuten
RB - JAC (8)","Dalton Kincaid
TE - BUF (7)","Braelon Allen
RB - NYJ (9)","Dallas Goedert
TE - PHI (9)","Xavier Legette
WR - CAR (14)"
"Tyjae Spears
RB - TEN (10)","Brock Purdy
QB - SF (14)","Ollie Gordon II
RB - MIA (12)","Dylan Sampson
RB - CLE (9)","Trey Benson
RB - ARI (8)","Kyle Williams
WR - NE (14)","J.J. McCarthy
QB - MIN (6)","Jaydon Blue
RB - DAL (10)","Chase Brown
RB - CIN (10)","Tyrone Tracy Jr.
RB - NYG (14)","Jordan Mason
RB - MIN (6)","Roschon Johnson
RB - CHI (5)"
"Adam Thielen
WR - MIN (6)","Jonnu Smith
TE - PIT (5)","Isaiah Bond
WR - CLE (9)","Brenton Strange
TE - JAC (8)","Tyler Allgeier
RB - ATL (5)","C.J. Stroud
QB - HOU (6)","Marquise Brown
WR - KC (10)","Ricky Pearsall
WR - SF (14)","Woody Marks
RB - HOU (6)","Joshua Palmer
WR - BUF (7)","Tre' Harris
WR - LAC (12)","Mike Gesicki
TE - CIN (10)"
"Joe Mixon
RB - HOU (6)","DeMario Douglas
WR - NE (14)","Jerome Ford
RB - CLE (9)","Cade Otton
TE - TB (9)","Jalen Coker
WR - CAR (14)","Baker Mayfield
QB - TB (9)","Cam Ward
QB - TEN (10)","Kyren Williams
RB - LAR (8)","Kyle Monangai
RB - CHI (5)","Rico Dowdle
RB - CAR (14)","Blake Corum
RB - LAR (8)","Keenan Allen
WR - LAC (12)"
"Jordan Love
QB - GB (5)","Denver Broncos
DST - DEN (12)","Chris Rodriguez Jr.
RB - WAS (12)","DJ Giddens
RB - IND (11)","Will Shipley
RB - PHI (9)","Baltimore Ravens
DST - BAL (7)","Keaton Mitchell
RB - BAL (7)","Tahj Brooks
RB - CIN (10)","Justin Fields
QB - NYJ (9)","Elic Ayomanor
WR - TEN (10)","Zach Ertz
TE - WAS (12)","Philadelphia Eagles
DST - PHI (9)"
"Pittsburgh Steelers
DST - PIT (5)","DeAndre Hopkins
WR - BAL (7)","Hunter Henry
TE - NE (14)","Houston Texans
DST - HOU (6)","Green Bay Packers
DST - GB (5)","Minnesota Vikings
DST - MIN (6)","Romeo Doubs
WR - GB (5)","Buffalo Bills
DST - BUF (7)","Isaac TeSlaa
WR - DET (8)","Jake Bates
K - DET (8)","Quentin Johnston
WR - LAC (12)","Isaiah Likely
TE - BAL (7)"
"Cameron Dicker
K - LAC (12)","Brandon Aubrey
K - DAL (10)","Marvin Mims Jr.
WR - DEN (12)","Rashod Bateman
WR - BAL (7)","Chase McLaughlin
K - TB (9)","Aaron Rodgers
QB - PIT (5)","Los Angeles Rams
DST - LAR (8)","Pat Bryant
WR - DEN (12)","Jaylen Wright
RB - MIA (12)","Jaxson Dart
QB - NYG (14)","Jaleel McLaughlin
RB - DEN (12)","Andrei Iosivas
WR - CIN (10)"
"Isaac Guerendo
RB - SF (14)","Justice Hill
RB - BAL (7)","Wil Lutz
K - DEN (12)","Evan McPherson
K - CIN (10)","Cedric Tillman
WR - CLE (9)","Tua Tagovailoa
QB - MIA (12)","Mason Taylor
TE - NYJ (9)","Tory Horton
WR - SEA (8)","Tyler Loop
K - BAL (7)","Elijah Arroyo
TE - SEA (8)","Ka'imi Fairbairn
K - HOU (6)","Dyami Brown
WR - JAC (8)"
"Harrison Butker
K - KC (10)","Jaylin Noel
WR - HOU (6)","Kareem Hunt
RB - KC (10)","Dont'e Thornton Jr.
WR - LV (8)","San Francisco 49ers
DST - SF (14)","Chris Boswell
K - PIT (5)","Cam Little
K - JAC (8)","Younghoe Koo
K - ATL (5)","Arizona Cardinals
DST - ARI (8)","Kansas City Chiefs
DST - KC (10)",ti felton,"Daniel Carlson
K - LV (8)"
